RAILLINK_I,출발역,종착역,LENGTH,호선
1105041,올림픽공원,방이,0.9,서울5호선
1105042,오금역(5호선),방이,0.9,서울5호선
1105043,오금역(5호선),개롱,0.9,서울5호선
1105044,거여,개롱,0.9,서울5호선
1105045,거여,마천,0.9,서울5호선
1105046,강동역(5-1호선),길동,0.9,서울5호선
1105047,굽은다리,길동,0.8,서울5호선
1105048,명일,굽은다리,0.7,서울5호선
1105049,고덕,명일,1.2,서울5호선
1105050,고덕,상일동,1.1,서울5호선
1105051,을지로4가역(5호선),동대문역사문화공원(5호선),0.9,서울5호선
1105052,강동역(5-1호선),천호역(5호선),0.8,서울5호선
1106001,응암,역촌,1.1,서울6호선
1106002,불광역(6호선),역촌,0.8,서울6호선
1106003,불광역(6호선),독바위,0.9,서울6호선
1106004,독바위,연신내역(6호선),1.4,서울6호선
1106005,구산,연신내역(6호선),0.9,서울6호선
1106006,구산,응암,1.5,서울6호선
1106007,새절,응암,0.9,서울6호선
1106008,새절,증산,0.9,서울6호선
1106009,디지털미디어시티(6호선),증산,1.1,서울6호선
1106010,월드컵경기장,디지털미디어시티(6호선),0.8,서울6호선
1106011,월드컵경기장,마포구청,0.8,서울6호선
1106012,망원,마포구청,1,서울6호선
1106013,망원,합정역(6호선),0.8,서울6호선
1106014,합정역(6호선),상수,0.8,서울6호선
1106015,광흥창,상수,0.9,서울6호선
1106016,광흥창,대흥,1,서울6호선
1106017,공덕역(6호선),대흥,0.9,서울6호선
1106018,효창공원앞(6호선),공덕역(6호선),0.9,서울6호선
1106019,삼각지역(6호선),효창공원앞(6호선),1.2,서울6호선
1106020,녹사평,삼각지역(6호선),1.1,서울6호선
1106021,이태원,녹사평,0.8,서울6호선
1106022,한강진,이태원,1,서울6호선
1106023,한강진,버티고개,1,서울6호선
1106024,버티고개,약수역(6호선),0.7,서울6호선
1106025,청구역(6호선),약수역(6호선),0.8,서울6호선
1106026,청구역(6호선),신당역(6호선),0.7,서울6호선
1106027,동묘앞역(6호선),신당역(6호선),0.6,서울6호선
1106028,동묘앞역(6호선),창신,0.9,서울6호선
1106029,창신,보문역(6호선),0.8,서울6호선
1106030,안암,보문역(6호선),0.9,서울6호선
1106031,고려대,안암,0.8,서울6호선
1106032,고려대,월곡,1.4,서울6호선
1106033,상월곡,월곡,0.8,서울6호선
1106034,상월곡,돌곶이,0.8,서울6호선
1106035,석계역(6호선),돌곶이,1,서울6호선
1106036,석계역(6호선),태릉입구역(6호선),0.8,서울6호선
1106037,화랑대,태릉입구역(6호선),0.9,서울6호선
1106038,봉화산,화랑대,0.7,서울6호선
1106039,봉화산,신내역(6호선),1.3,서울6호선
1107001,도봉산역(7호선),장암,1.4,서울7호선
1107002,수락산,도봉산역(7호선),1.6,서울7호선
1107003,수락산,마들,1.4,서울7호선
1107004,노원역(7호선),마들,1.2,서울7호선
1107005,노원역(7호선),중계,1.1,서울7호선
1107006,하계,중계,1,서울7호선
1107007,하계,공릉,1.3,서울7호선
1107008,공릉,태릉입구역(7호선),0.8,서울7호선
1107009,태릉입구역(7호선),먹골,0.9,서울7호선
1107010,먹골,중화,0.9,서울7호선
1107011,상봉역(7호선),중화,1,서울7호선
1107012,면목,상봉역(7호선),0.8,서울7호선
1107013,면목,사가정,0.9,서울7호선
1107014,용마산,사가정,0.8,서울7호선
1107015,용마산,중곡,0.9,서울7호선
1107016,중곡,군자역(7호선),1.1,서울7호선
1107017,어린이대공원,군자역(7호선),1.1,서울7호선
1107018,건대입구역(7호선),어린이대공원,0.8,서울7호선
1107019,건대입구역(7호선),뚝섬유원지,1,서울7호선
1107020,뚝섬유원지,청담,2,서울7호선
1107021,청담,강남구청역(7호선),1.1,서울7호선
1107022,강남구청역(7호선),학동,0.9,서울7호선
1107023,논현,학동,1,서울7호선
1107024,논현,반포,0.9,서울7호선
1107025,고속터미널역(7호선),반포,0.9,서울7호선
1107026,고속터미널역(7호선),내방,2.2,서울7호선
1107027,내방,총신대입구역(7호선),1,서울7호선
1107028,남성,총신대입구역(7호선),1,서울7호선
1107029,남성,숭실대입구,2,서울7호선
1107030,숭실대입구,상도,0.9,서울7호선
1107031,장승배기,상도,0.9,서울7호선
1107032,신대방삼거리,장승배기,1.2,서울7호선
1107033,신대방삼거리,보라매,0.8,서울7호선
1107034,신풍,보라매,0.9,서울7호선
1107035,대림역(7호선),신풍,1.4,서울7호선
1107036,남구로,대림역(7호선),1.1,서울7호선
1107037,가산디지털단지(7호선),남구로,0.8,서울7호선
1107038,철산,가산디지털단지(7호선),1.4,서울7호선
1107039,광명사거리,철산,1.3,서울7호선
1107040,광명사거리,천왕,1.7,서울7호선
1107041,온수역(7호선),천왕,1.5,서울7호선
1107042,온수역(7호선),까치울,2.2,서울7호선
1107043,부천종합운동장,까치울,1.2,서울7호선
1107044,부천종합운동장,춘의,0.9,서울7호선
1107045,신중동,춘의,1,서울7호선
1107046,신중동,부천시청,1.1,서울7호선
1107047,부천시청,상동(지하),0.9,서울7호선
1107048,상동(지하),부천시청,1.1,서울7호선
1108001,암사,천호역(8호선),1.3,서울8호선
1108002,천호역(8호선),강동구청,0.9,서울8호선
1108003,강동구청,몽촌토성,1.6,서울8호선
1108004,몽촌토성,잠실역(8호선),0.8,서울8호선
1108005,잠실역(8호선),석촌,1.2,서울8호선
1108006,석촌,송파,0.9,서울8호선
1108007,송파,가락시장역(8호선),0.8,서울8호선
1108008,가락시장역(8호선),문정,0.9,서울8호선
1108009,문정,장지,0.9,서울8호선
1108010,복정역(8호선),장지,0.9,서울8호선
1108011,산성(8호선),복정역(8호선),2.7,서울8호선
1108012,남한산성입구,산성(8호선),1.3,서울8호선
1108013,남한산성입구,단대오거리,0.8,서울8호선
1108014,신흥,단대오거리,0.8,서울8호선
1108015,신흥,수진,0.9,서울8호선
1108016,수진,모란역(8호선),1,서울8호선
1109001,개화,김포공항역(9호선),3.6,서울9호선
1109002,김포공항역(9호선),공항시장,0.8,서울9호선
1109003,공항시장,신방화,0.8,서울9호선
1109006,양천향교,가양,1.3,서울9호선
1109007,가양,증미,0.7,서울9호선
1109008,등촌,증미,1,서울9호선
1109009,염창,등촌,0.9,서울9호선
1109010,신목동,염창,0.9,서울9호선
1109011,선유도,신목동,1.2,서울9호선
1109012,당산역(9호선),선유도,1,서울9호선
1109013,국회의사당,당산역(9호선),1.5,서울9호선
1109014,여의도역(9호선),국회의사당,0.9,서울9호선
1109015,샛강,여의도역(9호선),0.8,서울9호선
1109016,노량진역(9호선),샛강,1.2,서울9호선
1109017,노량진역(9호선),노들,1.1,서울9호선
1109018,흑석,노들,1.1,서울9호선
1109019,동작역(9호선),흑석,1.4,서울9호선
1109020,동작역(9호선),구반포,1,서울9호선
1109021,신반포,구반포,0.7,서울9호선
1109022,신반포,고속터미널역(9호선),0.8,서울9호선
1109023,사평,고속터미널역(9호선),1.1,서울9호선
1109024,사평,신논현,0.9,서울9호선
1109025,신방화,마곡나루,0.9,서울9호선
1109026,마곡나루,양천향교,1.4,서울9호선
1109035,삼성중앙,봉은사,0.8,서울9호선
1109036,언주,신논현,0.8,서울9호선
1109037,종합운동장역(9호선),봉은사,1.4,서울9호선
1109038,선정릉역(9호선),삼성중앙,0.8,서울9호선
1109039,언주,선정릉역(9호선),0.9,서울9호선
2010001,서울역(고속),남영,1.7,서울1호선
2010002,용산역(1호선),남영,1.5,서울1호선
2010003,용산역(1호선),분기점(경부선),0.8,서울1호선
2010005,대방,신길역(1호선),0.8,서울1호선
2010006,영등포역(1호선),신길역(1호선),1,서울1호선
2010007,영등포역(1호선),신도림역(1호선),1.5,서울1호선
2010008,신도림역(1호선),구로역(1-2호선),1.1,서울1호선
2010009,분기점(경부선),가산디지털단지(1호선),1.1,서울1호선
2010010,가산디지털단지(1호선),독산,2,서울1호선
2010011,금천구청역(1호선),독산,1.2,서울1호선
2010012,금천구청역(1호선),분기(시흥연결선),1.1,서울1호선
2010013,석수,관악,1.9,서울1호선
2010014,관악,안양역(1호선),2.4,서울1호선
2010015,명학,안양역(1호선),2.2,서울1호선
2010018,의왕,당정,2.6,서울1호선
2010019,의왕,성균관대,2.9,서울1호선
2010020,화서,성균관대,2.6,서울1호선
2010021,화서,수원역(1호선),2.1,서울1호선
2010022,수원역(1호선),세류,2.9,서울1호선
2010023,세류,병점역(1-3호선),4.3,서울1호선
2010024,병점역(1호선),세마,2.4,서울1호선
2010025,세마,오산대,2.7,서울1호선
2010026,오산대,오산역(1호선),2.7,서울1호선
2010027,오산역(1호선),진위,4,서울1호선
2010028,진위,송탄,3.8,서울1호선
2010029,송탄,서정리역(1호선),2.2,서울1호선
2010030,서정리역(1호선),지제역(1호선),4.8,서울1호선
2010031,지제역(1호선),평택역(1호선),3.7,서울1호선
2010032,평택역(1호선),평택역(일반),9.4,서울1호선
2010046,당정,군포,1.6,서울1호선
2010091,분기(시흥연결선),석수,1.2,서울1호선
2010092,서울역(1호선),남영,1.7,서울1호선
2010095,분기점(경부선),노량진역(1호선),1.8,서울1호선
2010096,구로역(1-2호선),분기점(경부선),1.3,서울1호선
2010103,분기(시흥연결선),광명역(1-3호선),3.6,서울1호선
2010111,남영,서울역(일반),1.7,서울1호선
2010112,신촌,서울역(일반),3.1,서울1호선
2010113,용산역(고속),남영,1.5,서울1호선
2010114,분기점(경부선),용산역(고속),0.8,서울1호선
2010115,노량진역(일반),분기점(경부선),1.8,서울1호선
2010116,대방,노량진역(일반),1.5,서울1호선
2010119,신길역(1호선),영등포역(고속),1,서울1호선
2010120,신도림역(일반),영등포역(고속),1.5,서울1호선
2010121,영등포역(일반),신길역(1호선),1,서울1호선
2010122,신도림역(일반),영등포역(일반),1.5,서울1호선
2010123,구로역(1-1호선),신도림역(1호선),1.1,서울1호선
2010125,관악,안양역(일반),2.4,서울1호선
2010126,명학,안양역(일반),2.2,서울1호선
2010127,금정역(1호선),명학,1.4,서울1호선
2010128,금정역(1호선),군포,2.2,서울1호선
2010129,수원역(일반),화서,2.1,서울1호선
2010130,수원역(일반),세류,2.9,서울1호선
2010131,수원역(고속),화서,2.1,서울1호선
2010132,수원역(고속),세류,2.9,서울1호선
2010133,병점역(1호선),세류,4.3,서울1호선
2010134,오산역(일반),오산대,2.7,서울1호선
2010135,진위,오산역(일반),4,서울1호선
2010136,지제역(1호선),평택역(일반),3.7,서울1호선
2010137,평택역(1호선),평택역(일반),9.4,서울1호선
2010188,행신역(경의),강매,0.9,경의중앙선(수도권전철)
2010189,행신역(경의),능곡,1.5,경의중앙선(수도권전철)
2010191,옥수역(일반),응봉,1.8,경의중앙선(수도권전철)
2010192,한남,옥수역(일반),1.6,경의중앙선(수도권전철)
2010193,응봉,왕십리역(일반),1.4,경의중앙선(수도권전철)
2010195,청량리역(고속),왕십리역(일반),2.4,경의중앙선(수도권전철)
2010196,회기역(경의),청량리역(고속),1.4,경의중앙선(수도권전철)
