OID_,Shape_Length,노선명,버스정류장 수,평균구간길이(Km)
306,0.466816980789677,6514,111,0.42055583854925854
307,0.518613693632046,6515,111,0.46721954381265407
308,0.456999840913235,6516,121,0.37768581893655784
309,0.439221340615405,652,115,0.3819316005351348
310,0.262722891404444,653,55,0.4776779843717163
311,0.429214912879526,654,103,0.4167135076500253
312,0.436966477456721,660,100,0.436966477456721
313,1.702055563666814,6600,69,2.4667471937200203
314,0.502586253167117,661,126,0.3988779787040611
315,0.276490233281691,6613,81,0.3413459670144333
316,0.322285815375909,6614,90,0.35809535041767665
317,0.16664717735683,6615,43,0.38755157524844186
318,0.232387188874438,6616,79,0.2941609985752379
319,0.159638989316636,6617,56,0.2850696237797071
320,0.342205744307366,662,74,0.4624401950099541
321,0.212588204101085,6620,61,0.34850525262472953
322,0.293551972933867,6623,69,0.42543764193314054
323,0.208385478422985,6624,70,0.2976935406042643
324,0.248792169035454,6625,74,0.3362056338316946
325,0.260576882078878,6627,69,0.37764765518677973
326,0.254878638194091,6628,59,0.4319976918543915
327,0.391510924959699,6629,95,0.4121167631154727
328,0.348364632439604,6630,97,0.3591387963294887
329,0.346474194673945,6631,92,0.3766023855151576
330,0.312901231313155,6632,66,0.4740927747169015
331,0.459681489502407,6633,99,0.4643247368711182
332,0.127773554238836,6635,29,0.4405984628925379
333,0.346550835405493,6637,78,0.44429594282755513
334,0.217080003779482,6638,68,0.3192352996757088
335,0.198349197845973,6640A,48,0.4132274955124437
336,0.201400567512148,6640B,47,0.42851184577052764
337,0.616253175412007,6641,56,1.1004520989500124
338,0.269930790941994,6642,74,0.36477133911080273
339,0.08413362557865,6643,31,0.2713987921891936
340,0.249326741564641,6645,68,0.3666569728891779
341,0.192658902203947,6647,54,0.35677574482212404
342,0.252957815270854,6648,77,0.3285166432089012
343,0.072260399482358,6649,19,0.3803178920124105
344,0.082449336800938,6650,25,0.329797347203752
345,0.064710544658203,6651,23,0.2813501941661
346,0.116954993169457,6654,37,0.31609457613366754
347,0.178849777813906,6657,51,0.35068583885079607
348,0.435645091711167,670,79,0.5514494831786924
349,1.279312874847447,6701,41,3.1202753045059684
350,1.391689931939516,6702,59,2.3587964948127387
351,1.446391863547875,6703,50,2.89278372709575
352,1.428115935888796,6704,51,2.8002273252721492
353,1.635966224017778,6705A,56,2.9213682571746036
354,1.618764507494034,6705B,58,2.7909732887828174
355,0.516213393621156,6707B,11,4.6928490329196
356,0.351567884338375,6712,85,0.4136092756922059
357,0.358503518724218,6713,71,0.5049345334143915
358,0.321881839668237,6714,68,0.47335564657093676
359,0.278759110423786,6715,61,0.4569821482357147
360,0.446763935405052,6716,105,0.42548946229052576
361,0.376004075425945,672,79,0.47595452585562653
362,0.517638609586021,673,108,0.47929500887594545
363,0.268941484472514,674,58,0.4636922146077827
364,0.614146538199806,700,95,0.6464700402103222
365,0.345404894715926,701,73,0.4731573900218164
366,0.32744617478514,7011,79,0.4144888288419493
367,0.293154840792005,7013A,78,0.3758395394769295
368,0.29425933060223,7013B,80,0.3678241632527875
369,0.423025064233383,7016,106,0.3990802492767764
370,0.326966549880375,7017,89,0.3673781459330056
371,0.219124079806646,7018,56,0.39129299965472497
372,0.347055245085687,7019,89,0.3899497135794236
373,0.311240725255516,7021,75,0.4149876336740213
374,0.27937008809323,7022,72,0.38801401124059726
375,0.126221080522536,7024,31,0.4071647758791484
376,0.319765509648706,7025,71,0.4503739572516986
377,0.291096882848214,702A서오릉,71,0.40999560964537185
378,0.300789294252539,702B용두초교,72,0.4177629086840819
379,21.080764785523773,703,272,7.750281171148446
380,0.485760774102833,704,112,0.43371497687752947
381,0.355228871561405,705,67,0.5301923456140373
382,1.00498231882177,706,153,0.6568511887723987
383,0.707726668103756,707,126,0.5616878318283778
384,0.305146444373676,708,62,0.492171684473671
385,0.445064399650093,710,75,0.5934191995334572
386,0.471213769758208,720,111,0.4245169096920793
387,0.439381574430343,721,90,0.48820174936704774
388,0.468530231061423,7211,109,0.4298442486802046
389,0.520533641622297,7212,141,0.36917279547680637
390,0.473438508184421,740,93,0.5090736647144313
391,0.626649129044874,741,97,0.646030029943169
392,0.569600068905089,742,132,0.4315152037159765
393,0.011343899284046,7475,3,0.37812997613486665
394,0.444642441695823,750A,82,0.5422468801168573
395,0.424364778011667,750B,75,0.5658197040155559
396,0.484436980087529,752,103,0.47032716513352335
397,0.432568554666609,753,104,0.4159313025640471
398,0.568143168196969,760,101,0.5625179883138307
399,0.348284644153562,761,83,0.41962005319706264
400,0.358599497196073,7611,80,0.44824937149509125
401,0.185013575278115,7612,47,0.3936459048470532
402,0.331631557181473,7613,88,0.3768540422516739
403,0.463062444232521,771,102,0.4539827884632559
404,0.125805829863464,7711,41,0.30684348747186346
405,0.238331260865808,7713,68,0.3504871483320706
406,0.152461718166289,7714,42,0.36300409087211666
407,0.211635923679928,7715,58,0.36488952358608273
408,0.102768377813833,7719,33,0.3114193267085848
409,0.247558507021526,7720,76,0.3257348776599026
410,0.16481155913433,7722,49,0.3363501206823061
411,0.160695352449493,7723,40,0.4017383811237325
412,0.256526364075375,7726,66,0.38867630920511365
413,0.589241734930059,7727,108,0.5455941990093139
414,0.562773799303115,7728,109,0.5163062378927661
415,0.746073245898098,773,136,0.548583269042719
416,0.258104567805892,7730,74,0.3487899564944487
417,0.424254221525717,7733,76,0.5582292388496277
418,0.283171993185024,7734,95,0.2980757823000253
419,0.244454769291253,7737,64,0.38196057701758285
420,0.179401422238167,7738,54,0.33222485599660556
421,0.16058781648581,7739,43,0.373460038339093
422,0.691076595824838,774,160,0.43192287239052374
423,0.435412792727874,775,86,0.5062939450324117
424,0.059476520232651,8001,14,0.4248322873760786
425,0.053081115111557,8002,12,0.44234262592964163
426,0.054271567064912,8003,27,0.2010058039441185
427,0.285921814103448,8101,55,0.519857843824451
428,2.158369457127792,8111,127,1.6995035095494426
429,1.512742618264301,8112,41,3.6896161421080507
430,0.531212336938774,8146,135,0.3934906199546474
431,0.057999113657955,8221,15,0.3866607577197
432,0.188176491548412,8321A,42,0.4480392655914571
433,0.168881143688536,8321B,40,0.42220285922134
434,0.051679759114186,8331,14,0.3691411365299
435,0.143353279755697,8332,41,0.34964214574560243
436,0.110210030218929,8335,27,0.4081852971071444
437,0.162829797325454,8336,55,0.2960541769553709
438,0.065703621561491,8337,15,0.4380241437432733
439,0.03887520859105,8441,10,0.3887520859105
440,0.26240086268897,8541,56,0.4685729690874464
441,0.07650074180305,8551,24,0.3187530908460417
442,0.031210999708141,8552,12,0.26009166423450836
443,0.092283394667318,8561,24,0.3845141444471583
444,0.505197842528764,8641,117,0.43179302780236234
445,0.051231076454413,8661,11,0.46573705867648185
446,0.08363949041164,8663,5,1.6727898082328
447,0.182919836309107,8671,31,0.5900639880938936
448,0.253245619215552,8701,63,0.4019771733580191
449,0.05904730413751,8761,9,0.6560811570834445
450,0.111209263267706,8762,15,0.7413950884513733
451,0.034840656754551,8771,12,0.290338806287925
452,0.11072958643851,8772,28,0.3954628087089643
453,0.128100831822567,8773,48,0.2668767329636813
454,0.179446195614246,8774,58,0.3093899924383552
455,0.071492217829195,8777,18,0.3971789879399722
456,0.244092705488215,90S투어,23,1.0612726325574564
457,0.662773623947062,9401,63,1.0520216253127967
458,0.457570931071522,9401-1,21,2.1789091955786763
459,0.55358807573275,9403,121,0.4575108063907025
460,0.462480100209176,9404,58,0.7973794831192691
461,0.642194836949166,9408,120,0.535162364124305
462,0.575105272225846,9409,85,0.67659443791276
463,0.707726668103756,9701,126,0.5616878318283778
464,0.598936388475739,9703,118,0.5075732105726602
465,0.581901971824091,9707,77,0.7557168465247935
466,0.73446070417702,9709,142,0.517225848011986
467,0.772243839417929,9711,80,0.9653047992724113
468,0.41290182387158,9711B,35,1.1797194967759428
469,0.737552028195964,9714,52,1.4183692849922385
470,0.020745610148367,9999Test,6,0.34576016913945
471,0.705651013513555,N13,145,0.4866558713886586
472,0.695013114671872,N13B,143,0.4860231571131972
473,0.704516791041788,N15,146,0.4825457472888959
474,0.70334783823178,N15A,142,0.4953153790364648
475,0.728734588891876,N16,131,0.5562859457189894
476,0.728625944027985,N16B,131,0.5562030107083855
477,0.723241158897129,N26,134,0.5397322081321858
478,0.705640887176189,N26A,125,0.5645127097409511
479,0.476730217684389,N30,96,0.4965939767545719
480,0.714552204067982,N31,146,0.4894193178547822
481,0.680168333036243,N37,112,0.6072931544966456
482,0.73273669152983,N51,158,0.4637573997024241
483,1.229108155562892,N6000,20,6.14554077781446
484,1.175612795158137,N6001,20,5.878063975790685
485,2.478091629141926,N6002,47,5.272535381153035
486,0.862260398584839,N61,187,0.46110181742504763
487,0.85612728007461,N61B,177,0.4836877288557119
488,0.692936703510624,N62,163,0.4251145420310577
489,0.690856762672949,N62B,155,0.44571404043416074
490,0.695442738621678,N64,165,0.4214804476495019
491,0.487563817899029,N65,112,0.43532483740984734
492,1.321108412261463,N6701,36,3.6697455896151747
493,0.622565714410579,N6701-1,17,3.6621512612386997
494,1.510847516016243,N6703,38,3.975914515832218
495,0.715914251997851,N6703-1,18,3.977301399988061
496,0.652427805949586,N72,170,0.3837810623232859
497,0.715268837033495,N73,155,0.46146376582806126
498,0.838296380407888,N75,172,0.487381616516214
499,0.218333627242849,N824,50,0.436667254485698
500,0.296400084371672,N840,56,0.5292858649494142
501,0.373914214067899,N850,77,0.48560287541285585
502,0.365973494122762,N852,77,0.47529025210748305
503,4.261069948814403,N854,131,3.25272515176672
504,0.211227657951304,N866,44,0.4800628589802364
505,0.288992876578064,N876,64,0.451551369653225
506,0.12767558396489,N877,37,0.3450691458510541
507,0.107241122454674,강남01,33,0.32497309834749694
508,0.058848847620534,강남02,24,0.24520353175222503
509,0.112259424374994,강남03,33,0.3401800738636182
510,0.162880124176773,강남05,45,0.36195583150394
511,0.186803031664881,강남06,45,0.41511784814417996
512,0.070031625309866,강남06-1,24,0.29179843879110834
513,0.064823578184741,강남06-2,24,0.2700982424364208
514,0.134292786202609,강남07,45,0.29842841378357554
515,0.098043087551608,강남08,27,0.363122546487437
516,0.144487969223739,강남10,43,0.3360185330784628
517,0.099987938522335,강남방면,3,3.3329312840778327
518,0.215250092410693,강동01,64,0.33632826939170785
519,0.212945799717419,강동02,77,0.2765529866459987
520,0.182134632999277,강동05,67,0.27184273581981644
521,0.072221091047254,강북01,36,0.20061414179792775
522,0.051029674651817,강북02,32,0.15946773328692812
523,0.04353855995317,강북03,25,0.17415423981268
524,0.04273810392252,강북04,25,0.17095241569008
525,0.076657625227377,강북05,40,0.1916440630684425
526,0.05321097362548,강북06,35,0.15203135321565717
527,0.052401479581455,강북08,16,0.32750924738409376
528,0.115469860293872,강북09,51,0.22641149077229802
529,0.041215475637294,강북10,31,0.1329531472170774
530,0.041243762572557,강북10-1,31,0.13304439539534516
531,0.108051165860462,강북11,49,0.22051258338869795
532,0.054550438270351,강북12,17,0.32088493100206467
533,0.083906829601562,강서01,41,0.2046508039062488
534,0.071363845611831,강서02,49,0.14564050124863467
535,0.1009853567919,강서03,71,0.14223289689
536,0.06814915029483,강서04,30,0.2271638343161
537,0.151587242966304,강서05,72,0.21053783745319998
538,0.0450636471654,강서05-1,15,0.300424314436
539,0.097545162249085,강서06,38,0.2566977953923289
540,0.104281651402973,강서07,38,0.2744253984288763
541,0.062788823610555,관악01,29,0.21651318486398274
542,0.083553637491216,관악02,38,0.21987799339793684
543,0.039720392279186,관악03,22,0.18054723763266364
544,0.047893597612597,관악04,27,0.17738369486147035
545,0.031858308032859,관악05,20,0.159291540164295
546,0.048616520647865,관악06,28,0.17363043088523214
547,0.017854330015211,관악07,10,0.17854330015211
548,0.08734440157743,관악08,36,0.2426233377150833
549,0.056559439713815,관악10,29,0.19503255073729311
550,0.026666534500238,관악11,15,0.1777768966682533
551,0.107614669962708,광진01,44,0.24457879536979094
552,0.041570755780373,광진02,23,0.18074241643640437
553,0.095139183544611,광진03,42,0.22652186558240717
554,0.106681825515955,광진04,38,0.2807416460946184
555,0.08496387785822,광진05,37,0.2296321023195135
556,0.040234540862331,구로01,19,0.21176074138068945
557,0.035353945606401,구로02,20,0.176769728032005
558,0.025586366096504,구로03,12,0.21321971747086665
559,0.080444688339555,구로04,34,0.23660202452810294
560,0.065428010994407,구로05,35,0.18693717426973427
561,0.049364991481707,구로06,27,0.18283330178409998
562,0.11027519448341,구로07,46,0.23972868365958697
563,0.056960227243957,구로08,26,0.2190777970921423
564,0.132762594045966,구로09,53,0.25049546046408677
565,0.068677657330369,구로10,27,0.25436169381618146
566,0.108631907612615,구로11,34,0.3195056106253382
567,0.020086806428095,구로12,17,0.11815768487114706
568,0.056807607416323,구로13,13,0.43698159551017696
569,0.079366473635372,구로14,30,0.26455491211790666
570,0.043660208431156,구로15,22,0.19845549286889091
571,0.081472432073432,금천01,30,0.27157477357810667
572,0.117364139530083,금천01-1,40,0.2934103488252075
573,0.088938761919976,금천02,36,0.2470521164443778
574,0.065087839469987,금천03,31,0.20996077248382905
575,0.089461025615902,금천04,29,0.30848629522724824
576,0.079336002737645,금천05,38,0.20877895457275
577,0.113909760499209,금천06,46,0.24762991412871524
578,0.130735219833734,금천07,49,0.2668065710892531
579,0.108697080502386,금천08,42,0.25880257262472856
580,0.072229562384435,금천09,27,0.2675168977201296
581,0.079294279584356,금천10,18,0.44052377546864446
